Ultrasound Power (W),Magnetic Anisotropy (J/m³)
7.316905427084725,-3.663893534022737,Single-wall carbon nanotubes/PBTP
8.459024265158895,-3.206026244198626,Single-wall carbon nanotubes/PBTP
19.280867046391826,-10.980822913966175,Single-wall carbon nanotubes/PBTP
7.316905427084725,6.324580791662053,graphene platelet/PBTP
8.459024265158895,8.310416978707913,graphene platelet/PBTP
19.280867046391826,2.837567352032928,graphene platelet/PBTP
7.316905427084725,3.923203519780547,octyldimethylmethoxysilane/PBTP
8.459024265158895,3.8904861096194425,octyldimethylmethoxysilane/PBTP
19.280867046391826,3.8103078239713817,octyldimethylmethoxysilane/PBTP
7.316905427084725,10.731754196091812,Fe3O4/PBTP
8.459024265158895,17.817134971987983,Fe3O4/PBTP
19.280867046391826,482.58532541442685,Fe3O4/PBTP
