Particle Size (nm),Complex Viscosity (Pa·s)
4.481520482140009,-2.944303263301407,0.33% SWNT
6.031542603473485,0.49513640100991196,0.33% SWNT
9.490443407803973,23.211509452507663,0.33% SWNT
12.071131180582542,-21.57403091350989,0.33% SWNT
19.351182636613608,-691.3162406129924,0.33% SWNT
4.481520482140009,-4.088530671732918,0.02% SWNT
6.031542603473485,-4.26191396253653,0.02% SWNT
9.490443407803973,-4.280935251730314,0.02% SWNT
12.071131180582542,-4.43952133218985,0.02% SWNT
19.351182636613608,-4.565221823723765,0.02% SWNT
