Mechanical Strength (MPa),Magnetic Susceptibility
0.7689200190375756,-0.257940756254712,Silicone rubber
17.016145932471883,-0.8502394664785363,Silicone rubber
17.049409682434774,-0.8507985652912926,Silicone rubber
0.7689200190375756,-0.2788527481795403,Poly(acrylic acid)
17.016145932471883,-1.0343996893273941,Poly(acrylic acid)
17.049409682434774,-1.0340534375094466,Poly(acrylic acid)
0.7689200190375756,5.219552240924517,PA 12
17.016145932471883,9.407760518841654,PA 12
17.049409682434774,12.44196238890675,PA 12
0.7689200190375756,8.734676685065358,Sodium polyacrylate
17.016145932471883,7.726692647042429,Sodium polyacrylate
17.049409682434774,7.72621166249124,Sodium polyacrylate
0.7689200190375756,0.12377238370317745,PEKK
17.016145932471883,-1.2772703048569882,PEKK
17.049409682434774,6.494457700838731,PEKK
