Crystallinity (%),Thermal Conductivity (W/(m·K))
8.273498339288457,-4.734912346967714,montmorillonite/UPR
12.679192182189238,-4.787885445293667,montmorillonite/UPR
16.11516744890024,-4.802472363654352,montmorillonite/UPR
19.15506529403056,-4.806804452829511,montmorillonite/UPR
8.273498339288457,8.648533381707185,PAN/UPR
12.679192182189238,7.796460724744444,PAN/UPR
16.11516744890024,15.264510021422206,PAN/UPR
19.15506529403056,23.439135051553563,PAN/UPR
8.273498339288457,-0.3365333731099469,titanium dioxide/UPR
12.679192182189238,-0.40094243785609784,titanium dioxide/UPR
16.11516744890024,-0.4174188997881752,titanium dioxide/UPR
19.15506529403056,-0.42200181013413135,titanium dioxide/UPR
8.273498339288457,2.4308053863494137,multi-walled CNT/UPR
12.679192182189238,2.3515687272217627,multi-walled CNT/UPR
16.11516744890024,2.3029597111791738,multi-walled CNT/UPR
19.15506529403056,2.2435021678808864,multi-walled CNT/UPR
8.273498339288457,0.6055393318261804,aluminum/UPR
12.679192182189238,1.2251170744858482,aluminum/UPR
16.11516744890024,20.85895373788466,aluminum/UPR
19.15506529403056,-9.239279041581316,aluminum/UPR
