Drying Temperature (°C),Modulus Of Elasticity (GPa)
0,7.832141550917129,
11,9.854022098116362,
12,9.241087116413404,
14,11.66800485880798,
16,11.38989907909409,
17,18.83709390302463,
1.2015175289902702,2.676393371305,
1.517478104368013,3.1897515484221817,
4.53441371059407,6.3081531121136,
7.54682111495967,11.951643138736879,
14.654921069030415,-19.770484683310876,
19.58126741471488,330.3589603438112,
6,-7.037423369409513,
8,-7.123251427180469,
11,-7.170211078685453,
12,-7.183507910295408,
14,-7.194034491776335,
18,-7.2039765647434555,
0.789718355464808,2.779973719857673,
1.3559290522864376,2.6790431648808917,
3.5755324458738613,2.5103973411333564,
7.433190679277011,2.206715671038301,
11.568171405142042,2.1276643613242108,
18.8087979097037,2.098023451807966,
0,4.356609494173267,
5,7.739486641458165,
8,11.951345810355939,
9,22.7385925348676,
15,86.83705424825006,
19,335.67366911445777,
