Drying Time (h),Electrical Conductivity (S/m)
0,-5.870693291287598,
10,11.703583528061415,
12,27.574349140491403,
15,123.2031920981849,
18,-119.16321748520775,
1.320861053829736,2.878078464020917,
5.323046933413562,2.430315652666349,
7.357092495736303,2.379634477828169,
8.504039856579466,2.308599111095283,
15.356056852005754,2.052792553747971,
0,5.217733400642372,
2,4.621045177902558,
7,4.208803453094053,
10,4.149436259443181,
19,4.1025231923063865,
1,-3.1613283275787847,
2,-2.7790694908381544,
5,-2.6539779313964957,
13,1.1767712793652674,
14,-0.6038369794858829,
0,2.944092120159031,
11,1.9988326906225615,
12,5.983481469845609,
16,14.819222763710092,
19,-7.520785122703192,
