Incubation Temperature (°C),Tensile Modulus (GPa)
1,1.4921950630547745,0.01% Graphite Nanoplatelets/PAI
5,1.093669190635872,0.01% Graphite Nanoplatelets/PAI
8,1.041762656084271,0.01% Graphite Nanoplatelets/PAI
11,0.799264379044891,0.01% Graphite Nanoplatelets/PAI
16,0.6447366785248545,0.01% Graphite Nanoplatelets/PAI
1,-0.3761940284235358,0.81% Graphite Nanoplatelets/PAI
5,-0.7473137983327489,0.81% Graphite Nanoplatelets/PAI
8,1.8056143582871407,0.81% Graphite Nanoplatelets/PAI
11,5.54085157927902,0.81% Graphite Nanoplatelets/PAI
16,5.877763970710426,0.81% Graphite Nanoplatelets/PAI
