Drying Temperature (°C),Dynamic Viscosity (Pa·s)
0,2.897074435668136,C60/PA 66
8,2.3006133163667717,C60/PA 66
9,2.2746461546152177,C60/PA 66
13,2.226426876477198,C60/PA 66
18,2.2129083789725623,C60/PA 66
0,5.718738393188114, Graphite/PA 66
8,9.539208999689182, Graphite/PA 66
9,8.072578487709118, Graphite/PA 66
13,16.909806302121623, Graphite/PA 66
18,20.381116241524253, Graphite/PA 66
0,4.528896129747832,octyldimethylmethoxysilane/PA 66
8,3.6626803227398215,octyldimethylmethoxysilane/PA 66
9,3.5853021018440363,octyldimethylmethoxysilane/PA 66
13,3.4955684211413165,octyldimethylmethoxysilane/PA 66
18,3.364347496495987,octyldimethylmethoxysilane/PA 66
0,0.6227910703690054,9-anthracenemethanol/PA 66
8,0.1155016796033424,9-anthracenemethanol/PA 66
9,0.024527706353228096,9-anthracenemethanol/PA 66
13,-0.0505038590101855,9-anthracenemethanol/PA 66
18,-0.18767843733098222,9-anthracenemethanol/PA 66
0,-4.867234168212039,graphene platelets/PA 66
8,-3.989291876231156,graphene platelets/PA 66
9,-4.700789509906015,graphene platelets/PA 66
13,-6.2735551120258295,graphene platelets/PA 66
18,-4.648575103421037,graphene platelets/PA 66
