Electron Beam Dose (Gy),Hysteresis Loss (J/m³)
3.459136364413027,1.4424348029245424,Clay/P(VDF-CTFE)
4.873451268150886,5.410311039268831,Clay/P(VDF-CTFE)
12.005042804744836,56.702449978822656,Clay/P(VDF-CTFE)
15.27482796899109,112.6231960906061,Clay/P(VDF-CTFE)
3.459136364413027,6.672395892701929,Graphite/P(VDF-CTFE)
4.873451268150886,5.832852785524221,Graphite/P(VDF-CTFE)
12.005042804744836,6.4709659785739895,Graphite/P(VDF-CTFE)
15.27482796899109,14.301556846209197,Graphite/P(VDF-CTFE)
3.459136364413027,7.660364626792468,Zinc Oxide/P(VDF-CTFE)
4.873451268150886,7.537097751394815,Zinc Oxide/P(VDF-CTFE)
12.005042804744836,7.376032869700394,Zinc Oxide/P(VDF-CTFE)
15.27482796899109,7.357544795745242,Zinc Oxide/P(VDF-CTFE)
3.459136364413027,1.1396227372999546,Carbon nanofibers/P(VDF-CTFE)
4.873451268150886,0.993234835766345,Carbon nanofibers/P(VDF-CTFE)
12.005042804744836,0.7406448252464596,Carbon nanofibers/P(VDF-CTFE)
15.27482796899109,0.7272190524962575,Carbon nanofibers/P(VDF-CTFE)
3.459136364413027,-2.3952311522032743,CaCO3/P(VDF-CTFE)
4.873451268150886,-2.5329439328417402,CaCO3/P(VDF-CTFE)
12.005042804744836,-2.8747601651731607,CaCO3/P(VDF-CTFE)
15.27482796899109,-2.931393394863547,CaCO3/P(VDF-CTFE)
