Heat Treatment Temperature (°C),Thermal Stability (°C)
0,-1.4205613647500388,PPSU
8,10.249786563604038,PPSU
12,22.15080974154659,PPSU
15,-29.17970176621852,PPSU
16,147.89952202288183,PPSU
0,1.3764875152962,Poly(alpha-methylstyrene)
8,7.962403351621396,Poly(alpha-methylstyrene)
12,16.783480694101886,Poly(alpha-methylstyrene)
15,86.47890796807093,Poly(alpha-methylstyrene)
16,-4.321728293040103,Poly(alpha-methylstyrene)
0,2.152611168250278,TPU
8,5.115918945488577,TPU
12,3.080798009392944,TPU
15,2.9616112449493053,TPU
16,5.22967298227477,TPU
