Filler Content (%),Crystallinity (%)
8.548342684698882,19.4396207662894,high abrasion furnace black/EVA
14.316216611482442,71.57510821104523,high abrasion furnace black/EVA
15.161968744046025,-62.53252114195092,high abrasion furnace black/EVA
17.271032555995,-146.51203622485963,high abrasion furnace black/EVA
18.663342804632418,575.3515748435087,high abrasion furnace black/EVA
8.548342684698882,7.436223786128816,Zirconium dioxide/EVA
14.316216611482442,7.373207302422635,Zirconium dioxide/EVA
15.161968744046025,7.369925901068477,Zirconium dioxide/EVA
17.271032555995,7.364810168771555,Zirconium dioxide/EVA
18.663342804632418,7.362756133813926,Zirconium dioxide/EVA
8.548342684698882,-3.494981806877507,TiNTs/EVA
14.316216611482442,-3.736646360334065,TiNTs/EVA
15.161968744046025,-3.760651374522816,TiNTs/EVA
17.271032555995,-3.801430858028113,TiNTs/EVA
18.663342804632418,-3.823401729550752,TiNTs/EVA
8.548342684698882,8.076705971712679,CCTO/EVA
14.316216611482442,7.888636702937427,CCTO/EVA
15.161968744046025,7.886317889734586,CCTO/EVA
17.271032555995,7.835826884233461,CCTO/EVA
18.663342804632418,7.806619042249329,CCTO/EVA
