Degradation Temperature (°C),Fatigue Strength (MPa)
1,6.757757984244189,Cyclic olefin copolymer
3,6.5085756192491715,Cyclic olefin copolymer
13,9.73455031377532,Cyclic olefin copolymer
14,6.2364897199529095,Cyclic olefin copolymer
16,11.600807292616334,Cyclic olefin copolymer
1,-1.5976551972015338,Sodium polyacrylate
3,-1.8063423672143224,Sodium polyacrylate
13,-2.43221129919373,Sodium polyacrylate
14,-2.433127561454265,Sodium polyacrylate
16,-2.482601434375218,Sodium polyacrylate
1,-2.9960871431343707,PA63T
3,-3.314914377713819,PA63T
13,-3.7974134524906096,PA63T
14,-3.8024266725375333,PA63T
16,-3.810399545405905,PA63T
1,-5.772013503979912,PEMA
3,-3.3067629077386833,PEMA
13,6.5304154151715945,PEMA
14,78.53550756225478,PEMA
16,204.84551994497448,PEMA
