Strain,Intrinsic Viscosity (dl/g)
0.5601355188025314,5.245931222342162,Nylon 8
1.2700581834145974,5.329521845254587,Nylon 8
15.702642857109337,4.354504774560797,Nylon 8
0.5601355188025314,-4.4639550353493025,PAI
1.2700581834145974,-4.692195801515786,PAI
15.702642857109337,-5.408225929106421,PAI
0.5601355188025314,-5.925474916946416,PBA
1.2700581834145974,-6.235121086197202,PBA
15.702642857109337,149.3708248808259,PBA
0.5601355188025314,8.191371170076687,PB
1.2700581834145974,8.082978469904216,PB
15.702642857109337,-4.048063110379468,PB
