Particle Density,Hardness (HV)
5,-5.344279418120437,Poly(glycidyl methacrylate)
12,-5.470259265624117,Poly(glycidyl methacrylate)
13,-5.49054365328465,Poly(glycidyl methacrylate)
5,1.22943075944019,VER
12,6.919068899076593,VER
13,2.15447371514737,VER
5,-6.202051622782596,Poly(bisphenol A carbonate)
12,-6.429593381576856,Poly(bisphenol A carbonate)
13,-6.434504520949356,Poly(bisphenol A carbonate)
5,-4.125842773053998,Cyclic olefin copolymer
12,-4.354428134984729,Cyclic olefin copolymer
13,-4.360994064421489,Cyclic olefin copolymer
5,8.633454730382082,PBuA
12,52.75006131006805,PBuA
13,77.21118176633911,PBuA
