wt%,Heat Of Crystallization (J/g)
1.2992132664835454,-2.318144542561712,Nylon 6(3)T
6.615603873718561,2.1487316722466643,Nylon 6(3)T
11.148024386755836,12.280054058841234,Nylon 6(3)T
12.703752077098631,68.50383275051666,Nylon 6(3)T
1.2992132664835454,-6.136019862353617,PEVA
6.615603873718561,-6.492216450452097,PEVA
11.148024386755836,-6.601302141529565,PEVA
12.703752077098631,-6.612679946157912,PEVA
1.2992132664835454,-3.200356011808062,Silicone rubber
6.615603873718561,-2.409621076700473,Silicone rubber
11.148024386755836,-1.2163622140649877,Silicone rubber
12.703752077098631,-2.0640242806491953,Silicone rubber
1.2992132664835454,-5.132674047239762,Poly(vinyl pyrrolidone)
6.615603873718561,-3.231078960358742,Poly(vinyl pyrrolidone)
11.148024386755836,-3.25641977480165,Poly(vinyl pyrrolidone)
12.703752077098631,1.2469290079590216,Poly(vinyl pyrrolidone)
