EV (V),Coercivity (A/m)
0,-6.049934402033329,multi-walled carbon nanotube/S-EB-S
1,-5.81728046778203,multi-walled carbon nanotube/S-EB-S
7,-5.325562320631315,multi-walled carbon nanotube/S-EB-S
0,-5.1152200828328045,Titanium Dioxide/S-EB-S
1,-4.2216187032023536,Titanium Dioxide/S-EB-S
7,-3.4212835006835025,Titanium Dioxide/S-EB-S
0,-1.6696679656932383,TiNT/S-EB-S
1,-1.5842448808908611,TiNT/S-EB-S
7,-1.9726534710483503,TiNT/S-EB-S
0,5.135328604888432,C60/S-EB-S
1,5.1196140520279165,C60/S-EB-S
7,11.884716109443126,C60/S-EB-S
