Electron Beam Dose (Gy),Peel Strength (N/m)
3,-3.639933875358479,Montmorillonite/Fluoroelastomer
5,-2.5321006917104816,Montmorillonite/Fluoroelastomer
6,2.44288706786031,Montmorillonite/Fluoroelastomer
7,3.369049894851365,Montmorillonite/Fluoroelastomer
13,-13.675924209190043,Montmorillonite/Fluoroelastomer
16,15.016202731668436,Montmorillonite/Fluoroelastomer
17,2.8206944328694377,Montmorillonite/Fluoroelastomer
3,-3.819176263704289,MoS2/Fluoroelastomer
5,-3.8246384772178303,MoS2/Fluoroelastomer
6,-3.872314513948955,MoS2/Fluoroelastomer
7,-3.832627383703154,MoS2/Fluoroelastomer
13,-4.082852339506827,MoS2/Fluoroelastomer
16,-4.148411102498571,MoS2/Fluoroelastomer
17,-4.169174295551359,MoS2/Fluoroelastomer
3,-5.082954289645564,Montmorillonite/Fluoroelastomer
5,-5.162215876800053,Montmorillonite/Fluoroelastomer
6,-5.182267475689264,Montmorillonite/Fluoroelastomer
7,-5.310259284610849,Montmorillonite/Fluoroelastomer
13,-5.555073457572723,Montmorillonite/Fluoroelastomer
16,-5.603077214017255,Montmorillonite/Fluoroelastomer
17,-5.619955346451116,Montmorillonite/Fluoroelastomer
3,2.4423869516324648,Silver hexafluoroantimonate/Fluoroelastomer
5,2.6774281021598973,Silver hexafluoroantimonate/Fluoroelastomer
6,4.070075894418411,Silver hexafluoroantimonate/Fluoroelastomer
7,2.688821175583361,Silver hexafluoroantimonate/Fluoroelastomer
13,6.672528150986245,Silver hexafluoroantimonate/Fluoroelastomer
16,5.584452052224799,Silver hexafluoroantimonate/Fluoroelastomer
17,-0.00473068141814359,Silver hexafluoroantimonate/Fluoroelastomer
