Exposure Time (h),Complex Modulus (Pa)
8.905541206202184,19.05415174550989,0.48% Titanium dioxide
13.343658346431145,53.84064242052898,0.48% Titanium dioxide
18.188881918168796,427.5340281868164,0.48% Titanium dioxide
19.112748593012224,670.2293649053078,0.48% Titanium dioxide
19.47232636456246,1078.5206363403192,0.48% Titanium dioxide
8.905541206202184,5.598132126501634,0.6% Titanium dioxide
13.343658346431145,5.548815450216756,0.6% Titanium dioxide
18.188881918168796,5.533803903459468,0.6% Titanium dioxide
19.112748593012224,5.532492519166841,0.6% Titanium dioxide
19.47232636456246,5.532148703481346,0.6% Titanium dioxide
