Nanoparticle Mass (%),Hardness (HV)
0,-0.053132729113673394,PVB
1,-0.05670499670533191,PVB
7,1.463327768452467,PVB
8,1.8120260112656306,PVB
13,0.012750670209567883,PVB
4,3.5434340017939907,PEVA
7,3.2865624450035495,PEVA
9,3.1262760572707164,PEVA
15,2.9653452702991414,PEVA
16,2.93637029719555,PEVA
6,6.127595395892314,PAM
9,6.018502576775187,PAM
12,5.973129488069001,PAM
18,5.949956648049777,PAM
19,5.94874262680617,PAM
4.173410998462252,4.68587363529355,ABS
8.790507452614937,21.15257435719167,ABS
10.424402979100758,22.76221087821831,ABS
12.225638870380369,-5.146627336329008,ABS
17.597326993668798,408.3552874552761,ABS
1,-4.074973023330554,PDMS
2,-4.25834831916898,PDMS
10,-4.7124649284733,PDMS
11,-4.7318593594494,PDMS
16,-4.854821356078957,PDMS
