Specific Heat Capacity (J/(g·K)),X-ray Diffraction Intensity
0.23032819293526963,-4.4500475386265474,PBTP
0.6706704084328141,-4.122896051885787,PBTP
3.9666544790733194,-2.7717350713017463,PBTP
6.5124649440256,-0.7992865673844856,PBTP
11.60831573159327,24.201550413649837,PBTP
16.226511377488947,35.747181753194994,PBTP
0.23032819293526963,9.087833136338235,DGEBA Epoxy Resin
0.6706704084328141,8.462402853815732,DGEBA Epoxy Resin
3.9666544790733194,10.288827288176886,DGEBA Epoxy Resin
6.5124649440256,15.594985309055657,DGEBA Epoxy Resin
11.60831573159327,66.2631354630013,DGEBA Epoxy Resin
16.226511377488947,89.68147611588863,DGEBA Epoxy Resin
