Film Thickness (µm),Hardness (HV)
0.18421802955279398,3.4775557512409243,0.41% graphitic nanoplatelets/PLA
0.1937276159254564,3.006643174305969,0.41% graphitic nanoplatelets/PLA
7.400042321572249,3.7289744378811425,0.41% graphitic nanoplatelets/PLA
10.00043662994884,2.7680213675863916,0.41% graphitic nanoplatelets/PLA
0.18421802955279398,4.254284920909258,0.9% graphitic nanoplatelets/PLA
0.1937276159254564,4.198417712395617,0.9% graphitic nanoplatelets/PLA
7.400042321572249,11.93215752623406,0.9% graphitic nanoplatelets/PLA
10.00043662994884,11.670569546730247,0.9% graphitic nanoplatelets/PLA
0.18421802955279398,-6.632307152109252,0.66% graphitic nanoplatelets/PLA
0.1937276159254564,-6.723484053723695,0.66% graphitic nanoplatelets/PLA
7.400042321572249,-7.278443032810088,0.66% graphitic nanoplatelets/PLA
10.00043662994884,-7.340462822350821,0.66% graphitic nanoplatelets/PLA
0.18421802955279398,-6.421801644455392,0.44% graphitic nanoplatelets/PLA
0.1937276159254564,-6.793149034993659,0.44% graphitic nanoplatelets/PLA
7.400042321572249,-7.451518663804847,0.44% graphitic nanoplatelets/PLA
10.00043662994884,-7.515542463687016,0.44% graphitic nanoplatelets/PLA
0.18421802955279398,0.09143984760298207,0.4% graphitic nanoplatelets/PLA
0.1937276159254564,-0.4969561796362473,0.4% graphitic nanoplatelets/PLA
7.400042321572249,1.3699167268838721,0.4% graphitic nanoplatelets/PLA
10.00043662994884,-1.9677029144983944,0.4% graphitic nanoplatelets/PLA
