wt% (%),Magnetoresistance
8.45630799480871,0.5271490821399594,PαMS
11.51640889787448,2.305192765804633,PαMS
13.253646057621062,-0.9073742071699433,PαMS
15.702202065775811,2.9921467579466956,PαMS
19.009108725959948,-8.822983691068714,PαMS
1,3.102062381276604,PAI
2,3.0978587517857314,PAI
3,2.9908367906800954,PAI
12,2.572648769235395,PAI
16,2.4601250446329375,PAI
1,8.662680878795333,PEMA
3,8.540550058274773,PEMA
9,8.160294267273274,PEMA
12,8.036861340219968,PEMA
15,7.956678100975217,PEMA
1.9441946402692256,-3.742884787544911,iPP
8.259111861496052,-1.3585874642583056,iPP
13.53437935410321,-2.1580734939803943,iPP
16.934293542817766,-3.0236287246009383,iPP
17.289206121226304,-3.400360415992431,iPP
