Hardness (HV),Galvanic Potential (V)
0,1.0961248330118987,0.7% Methoxy(dimethyl)octylsilane/P(VDF-TrFE)
1,0.8436031097395644,0.7% Methoxy(dimethyl)octylsilane/P(VDF-TrFE)
8,0.22787035661271482,0.7% Methoxy(dimethyl)octylsilane/P(VDF-TrFE)
9,0.20484187922039593,0.7% Methoxy(dimethyl)octylsilane/P(VDF-TrFE)
10,0.18613997486665076,0.7% Methoxy(dimethyl)octylsilane/P(VDF-TrFE)
18,0.1390195121315126,0.7% Methoxy(dimethyl)octylsilane/P(VDF-TrFE)
8,-1.5996392986732424,0.14% Methoxy(dimethyl)octylsilane/P(VDF-TrFE)
9,-0.9696923536972859,0.14% Methoxy(dimethyl)octylsilane/P(VDF-TrFE)
10,0.8799875448131491,0.14% Methoxy(dimethyl)octylsilane/P(VDF-TrFE)
11,-3.1929440765654173,0.14% Methoxy(dimethyl)octylsilane/P(VDF-TrFE)
14,1.0426222538845016,0.14% Methoxy(dimethyl)octylsilane/P(VDF-TrFE)
15,4.825638448150771,0.14% Methoxy(dimethyl)octylsilane/P(VDF-TrFE)
1,-6.742604355278913,0.54% Methoxy(dimethyl)octylsilane/P(VDF-TrFE)
5,-2.064922806712781,0.54% Methoxy(dimethyl)octylsilane/P(VDF-TrFE)
11,18.19954581785513,0.54% Methoxy(dimethyl)octylsilane/P(VDF-TrFE)
15,189.55706269108242,0.54% Methoxy(dimethyl)octylsilane/P(VDF-TrFE)
16,178.3509960017548,0.54% Methoxy(dimethyl)octylsilane/P(VDF-TrFE)
19,511.6669618800039,0.54% Methoxy(dimethyl)octylsilane/P(VDF-TrFE)
3.1533251485168123,7.379089360454359,0.83% Methoxy(dimethyl)octylsilane/P(VDF-TrFE)
5.292005401643138,7.940674547222427,0.83% Methoxy(dimethyl)octylsilane/P(VDF-TrFE)
12.028167435503255,9.342664280945638,0.83% Methoxy(dimethyl)octylsilane/P(VDF-TrFE)
13.216628429676259,11.727767503097684,0.83% Methoxy(dimethyl)octylsilane/P(VDF-TrFE)
13.601980632706056,11.739504625708056,0.83% Methoxy(dimethyl)octylsilane/P(VDF-TrFE)
13.70066927309747,6.555462825940433,0.83% Methoxy(dimethyl)octylsilane/P(VDF-TrFE)
1,-0.7808661164373203,0.97% Methoxy(dimethyl)octylsilane/P(VDF-TrFE)
2,-0.879010316070195,0.97% Methoxy(dimethyl)octylsilane/P(VDF-TrFE)
3,-0.9462141124137526,0.97% Methoxy(dimethyl)octylsilane/P(VDF-TrFE)
12,-1.3660098904046958,0.97% Methoxy(dimethyl)octylsilane/P(VDF-TrFE)
15,-1.3904826113692608,0.97% Methoxy(dimethyl)octylsilane/P(VDF-TrFE)
18,-1.4692959421806486,0.97% Methoxy(dimethyl)octylsilane/P(VDF-TrFE)
