Particle Density,Magnetic Permeability (H/m)
1.8126391474353465,3.393397940172714,PA63T
5.943377584098823,3.6272759645206505,PA63T
10.243627470289294,2.692619973926115,PA63T
11.239596164343162,0.33284468039355364,PA63T
1.8126391474353465,0.4966438111564915,P4VP
5.943377584098823,3.8949161551416944,P4VP
10.243627470289294,14.217077780615288,P4VP
11.239596164343162,-5.842561029098736,P4VP
1.8126391474353465,-4.61491165069792,PEKK
5.943377584098823,-3.8602008562845707,PEKK
10.243627470289294,-3.2125662431655013,PEKK
11.239596164343162,-0.46857876232573226,PEKK
1.8126391474353465,-5.814226923675237,Poly-trifluoroethylene
5.943377584098823,-6.306706646647758,Poly-trifluoroethylene
10.243627470289294,-6.423248458194514,Poly-trifluoroethylene
11.239596164343162,-6.434487102248919,Poly-trifluoroethylene
