Crystallization Temperature (°C),Viscosity (Pa·s)
1.8796837823160062,-4.498821954256824,0.92% PbS
10.027711366992522,-4.984125220470652,0.92% PbS
13.527083534482554,-5.016526058439417,0.92% PbS
1.8796837823160062,8.139361949370693,0.73% PbS
10.027711366992522,10.906442650337368,0.73% PbS
13.527083534482554,10.311724367464004,0.73% PbS
1.8796837823160062,4.648002161251794,0.32% PbS
10.027711366992522,36.01823933552275,0.32% PbS
13.527083534482554,93.18444526581402,0.32% PbS
1.8796837823160062,7.521856932259164,0.81% PbS
10.027711366992522,16.657302743135848,0.81% PbS
13.527083534482554,119.13201945746073,0.81% PbS
