Neutron Flux (n/cm²/s),Heat Of Fusion (J/g)
1.33271067931654,-6.572352103304172,0.93% Silicon dioxide
5.811593292671113,-5.844562460349269,0.93% Silicon dioxide
7.852282016263661,-3.0844514884376704,0.93% Silicon dioxide
10.200213389285008,-8.063457744759095,0.93% Silicon dioxide
1.33271067931654,4.444797861397681,0.2% Silicon dioxide
5.811593292671113,3.8776058245644354,0.2% Silicon dioxide
7.852282016263661,3.763857222643056,0.2% Silicon dioxide
10.200213389285008,3.728305945318863,0.2% Silicon dioxide
1.33271067931654,-1.3343791897662403,0.93% Silicon dioxide
5.811593292671113,-1.9823686135211613,0.93% Silicon dioxide
7.852282016263661,-2.064219709832014,0.93% Silicon dioxide
10.200213389285008,-2.121774039902943,0.93% Silicon dioxide
