Calcination Time (h),Magnetic Anisotropy (J/m³)
0.3584672706401859,1.6021750355652278,0.0% SWNT
16.447191352129618,-56.487611220852266,0.0% SWNT
19.102189436857632,806.1852188825857,0.0% SWNT
0.3584672706401859,-4.34977062188591,0.61% SWNT
16.447191352129618,301.7119087137417,0.61% SWNT
19.102189436857632,84.26239979876107,0.61% SWNT
0.3584672706401859,-3.1579418285553578,0.41% SWNT
16.447191352129618,-3.121684211276115,0.41% SWNT
19.102189436857632,-15.519818629398316,0.41% SWNT
0.3584672706401859,-6.361224347125497,0.49% SWNT
16.447191352129618,-3.725243950271258,0.49% SWNT
19.102189436857632,1.1805078584457736,0.49% SWNT
0.3584672706401859,-6.537043395429938,0.3% SWNT
16.447191352129618,339.76990968840096,0.3% SWNT
19.102189436857632,782.8770043200957,0.3% SWNT
