Nanoparticle Volume (%),Tg (°C)
0.8874365540502493,-3.6773805778189765,PEO
4.267757198885748,-4.124725743741639,PEO
5.233553060251344,-4.264937210002687,PEO
9.722045066530153,-4.402016647473522,PEO
13.271049554261278,-4.43406930820219,PEO
14.917221509680479,-4.4414347305762725,PEO
0.8874365540502493,-1.6654090076980288,SAN24
4.267757198885748,-1.6382079003744612,SAN24
5.233553060251344,-1.6704243239236232,SAN24
9.722045066530153,-2.023668600707607,SAN24
13.271049554261278,-2.1528818997868298,SAN24
14.917221509680479,-2.2048007207562548,SAN24
0.8874365540502493,2.3006911642661203,PMS
4.267757198885748,1.9184076432815895,PMS
5.233553060251344,1.7967555589528126,PMS
9.722045066530153,1.6422098386649453,PMS
13.271049554261278,1.608120029422385,PMS
14.917221509680479,1.5996794484121062,PMS
