Hardness (HV),Magnetic Susceptibility
0,5.802412290057868,Poly(vinyl acetate)
2,6.210885758558068,Poly(vinyl acetate)
4,5.693090205566806,Poly(vinyl acetate)
17,19.826253825412508,Poly(vinyl acetate)
0,1.2235371726752555,poly-HEMA
2,1.2485611277180046,poly-HEMA
4,2.1925379960530824,poly-HEMA
17,16.563695780759517,poly-HEMA
0,4.97876986930009,PBS
2,4.438550394954226,PBS
4,4.137991265754056,PBS
17,3.8599741843972484,PBS
0,-6.053084666236076,Poly(2-vinyl pyridine)
2,-5.339298359543609,Poly(2-vinyl pyridine)
4,-5.013853778851715,Poly(2-vinyl pyridine)
17,-4.355362765519067,Poly(2-vinyl pyridine)
