Young’s Modulus (GPa),Zeta Potential (mV)
3,0.3317520294657783,
5,0.06724377761290212,
10,-0.10715444371562755,
13,-0.2256948742672601,
15,-0.2895661210606586,
16,-0.3000348525920016,
3,2.4574289880891924,
5,4.9181289010736755,
10,24.59116185731577,
13,49.112960963558265,
15,94.33487648210082,
16,286.4248923471928,
3,5.174122038718421,
5,4.5709994514410015,
10,7.650806233384026,
13,6.769851323487379,
15,11.709426110033846,
16,7.364831060421588,
3,-2.053661748923511,
5,-2.24573829572421,
10,-2.4337937488530597,
13,-2.464795897946093,
15,-2.474305618813325,
16,-2.477728419052926,
3,-0.22926908731718387,
5,-0.48930058564700496,
10,-0.751102185579878,
13,-0.7928873083760322,
15,-0.8652182668424251,
16,-0.8741197038030107,
