wt% (%),Bulk Modulus (GPa)
5.506422390391307,-0.9568164095044636,octyldimethylmethoxysilane/PVDF
7.353717961160584,-1.1953879461383539,octyldimethylmethoxysilane/PVDF
11.50211795437018,-1.216651051841176,octyldimethylmethoxysilane/PVDF
14.19636587682601,-1.257884253587067,octyldimethylmethoxysilane/PVDF
17.298156921969042,-1.3554171213263744,octyldimethylmethoxysilane/PVDF
18.467392864362054,-1.3679407589481491,octyldimethylmethoxysilane/PVDF
0.025975416892889402,-3.4111477888907924,Molybdenum Disulphide/PVDF
0.175310980210579,-3.7023411700678195,Molybdenum Disulphide/PVDF
1.001236813404287,-3.8986636984790795,Molybdenum Disulphide/PVDF
6.620357277607103,-4.156976569808817,Molybdenum Disulphide/PVDF
7.337260232198918,-4.089952700247974,Molybdenum Disulphide/PVDF
12.749455069304812,-4.3789582121817014,Molybdenum Disulphide/PVDF
0.3752222563490526,1.0129115363978658,Aluminium dioxide/PVDF
2.9951827500720074,1.5666199910845908,Aluminium dioxide/PVDF
12.512524425861073,0.8612891334049184,Aluminium dioxide/PVDF
14.11825174137684,6.511145645215118,Aluminium dioxide/PVDF
14.85200648296253,4.60443282366846,Aluminium dioxide/PVDF
17.157225284802696,1.4613265199559513,Aluminium dioxide/PVDF
