Reaction Time (h),Dielectric Loss
2,1.3609612908903839,DGEBF
5,4.393262197562648,DGEBF
16,215.4198985781471,DGEBF
0,-3.1948524402226215,PAM
4,-4.090708824018952,PAM
5,-4.198995945385852,PAM
2.8657691831773913,3.758393965426423,Polystyrene
5.016477030624764,2.961351698108622,Polystyrene
9.409009292776824,1.1077366431368425,Polystyrene
5.477769754789263,9.374754206277347,PVAL
8.305613453858902,16.8145984373582,PVAL
16.98021257554672,195.61295285273786,PVAL
14.402911666336903,1.579384789115764,PVC
17.209536473355545,-9.124664797959522,PVC
19.612731820694314,-33.527403021516406,PVC
