Crosslinking Density (mol/m³),Bond Strength (MPa)
0.1537570795440102,-0.5543399519681447,0.58% Ag
3.043013247951769,-0.25025379805803283,0.58% Ag
3.4372290617485546,-0.9243912175204824,0.58% Ag
15.52712845053168,5.779509649289223,0.58% Ag
18.188174146940113,4.977141880161149,0.58% Ag
0,5.545536463868756,0.36% Ag
2,5.69259383248217,0.36% Ag
13,5.036593675895703,0.36% Ag
15,5.013754546129559,0.36% Ag
18,4.955141248507491,0.36% Ag
0.8066870414149441,6.842478225944841,0.85% Ag
8.726947338855794,14.416560141656165,0.85% Ag
9.528100324156368,29.119878519305843,0.85% Ag
11.195249314941355,7.8585990249532305,0.85% Ag
15.096216123849135,164.44802500977127,0.85% Ag
1,-6.493207867290288,0.01% Ag
4,-6.602946397490049,0.01% Ag
5,-6.77957268853856,0.01% Ag
15,-7.109759902972531,0.01% Ag
16,-7.155620573617348,0.01% Ag
