Nanoparticle Mass (%),Shear Strength (MPa)
1.4497506929703707,-6.369303781158737,Carbon nanofibers/Cyclic olefin copolymer
2.653917926063585,-6.27094864789966,Carbon nanofibers/Cyclic olefin copolymer
2.8908573223820566,-6.45016820738846,Carbon nanofibers/Cyclic olefin copolymer
11.9723402862953,-1.1983472434222815,Carbon nanofibers/Cyclic olefin copolymer
16.672117066826157,0.9745539970329506,Carbon nanofibers/Cyclic olefin copolymer
1.4497506929703707,-4.856924351165935,octyldimethylmethoxysilane/Cyclic olefin copolymer
2.653917926063585,-5.093471163395464,octyldimethylmethoxysilane/Cyclic olefin copolymer
2.8908573223820566,-5.056124885330453,octyldimethylmethoxysilane/Cyclic olefin copolymer
11.9723402862953,-5.45779580790015,octyldimethylmethoxysilane/Cyclic olefin copolymer
16.672117066826157,-5.48002583114132,octyldimethylmethoxysilane/Cyclic olefin copolymer
1.4497506929703707,-3.0235103710686437,graphite nanoplatelets/Cyclic olefin copolymer
2.653917926063585,-2.819626243561602,graphite nanoplatelets/Cyclic olefin copolymer
2.8908573223820566,-3.098747884264534,graphite nanoplatelets/Cyclic olefin copolymer
11.9723402862953,-3.6455163514756266,graphite nanoplatelets/Cyclic olefin copolymer
16.672117066826157,0.396688235732662,graphite nanoplatelets/Cyclic olefin copolymer
1.4497506929703707,7.206865734816576,silicon dioxide/Cyclic olefin copolymer
2.653917926063585,8.172404375119822,silicon dioxide/Cyclic olefin copolymer
2.8908573223820566,7.697096636340012,silicon dioxide/Cyclic olefin copolymer
11.9723402862953,46.49297369249622,silicon dioxide/Cyclic olefin copolymer
16.672117066826157,198.13946672394948,silicon dioxide/Cyclic olefin copolymer
1.4497506929703707,-5.780012744342684,OAP-POSS/Cyclic olefin copolymer
2.653917926063585,-5.08660776657747,OAP-POSS/Cyclic olefin copolymer
2.8908573223820566,-5.290050474815432,OAP-POSS/Cyclic olefin copolymer
11.9723402862953,35.23130599981402,OAP-POSS/Cyclic olefin copolymer
16.672117066826157,60.12478418843191,OAP-POSS/Cyclic olefin copolymer
