Annealing Temperature (°C),Electrical Conductivity (S/m)
0.901293508365808,7.28000535848463,carbon black/PVAc
2.604396686917596,6.8713833884107505,carbon black/PVAc
6.392835574505018,6.590061135087916,carbon black/PVAc
7.3400078835087506,6.550963516855872,carbon black/PVAc
11.857534555525298,6.466723871782322,carbon black/PVAc
12.504629423860846,6.465738747192278,carbon black/PVAc
18.619136011579112,6.443715751249898,carbon black/PVAc
0.901293508365808,-1.6094606923599626,CCTO/PVAc
2.604396686917596,-1.926268605372795,CCTO/PVAc
6.392835574505018,-2.070495670706538,CCTO/PVAc
7.3400078835087506,-2.1044198269402825,CCTO/PVAc
11.857534555525298,-2.2648008290367416,CCTO/PVAc
12.504629423860846,-2.3244319894148218,CCTO/PVAc
18.619136011579112,-2.4282406106660575,CCTO/PVAc
0.901293508365808,4.408301580221107,Dodecylbenzenesulfonic acid/PVAc
2.604396686917596,4.918300477526779,Dodecylbenzenesulfonic acid/PVAc
6.392835574505018,4.632185806131088,Dodecylbenzenesulfonic acid/PVAc
7.3400078835087506,4.790010996033752,Dodecylbenzenesulfonic acid/PVAc
11.857534555525298,9.136781171908677,Dodecylbenzenesulfonic acid/PVAc
12.504629423860846,3.569778040457737,Dodecylbenzenesulfonic acid/PVAc
18.619136011579112,8.805358634139079,Dodecylbenzenesulfonic acid/PVAc
0.901293508365808,-4.738149674928762,Fe2O3/PVAc
2.604396686917596,-5.002292115031613,Fe2O3/PVAc
6.392835574505018,-5.067219902898781,Fe2O3/PVAc
7.3400078835087506,-5.048178999467055,Fe2O3/PVAc
11.857534555525298,-5.2757584235674075,Fe2O3/PVAc
12.504629423860846,-5.314715471314667,Fe2O3/PVAc
18.619136011579112,-5.41811860846369,Fe2O3/PVAc
0.901293508365808,7.252038677808126,expandable graphite/PVAc
2.604396686917596,7.914667655641892,expandable graphite/PVAc
6.392835574505018,14.414008213667321,expandable graphite/PVAc
7.3400078835087506,16.762092660846307,expandable graphite/PVAc
11.857534555525298,21.405960875921007,expandable graphite/PVAc
12.504629423860846,61.87723135793893,expandable graphite/PVAc
18.619136011579112,417.4374272778916,expandable graphite/PVAc
