Frequency (Hz),Corrosion Rate (mm/year)
1.653487379121552,9.307204488495582,PUR
2.6469729734247793,9.044087715693713,PUR
15.798555997793056,15.891773869487555,PUR
19.54134422358724,21.878733550261302,PUR
1.653487379121552,-0.16733195561862568,XNBR
2.6469729734247793,-0.22032062395891938,XNBR
15.798555997793056,-0.7099365690124086,XNBR
19.54134422358724,-0.7162306972532325,XNBR
1.653487379121552,8.513646020684984,Cellulose acetate butyrate
2.6469729734247793,8.42319762284101,Cellulose acetate butyrate
15.798555997793056,7.9376570497838514,Cellulose acetate butyrate
19.54134422358724,7.932285115069102,Cellulose acetate butyrate
