Heat Treatment Time (h),Thermal Stability (°C)
0.9285022641852514,-4.4409368646210785,0.6% Sodium titanate nanotubes
6.879807879379307,-3.606188705953774,0.6% Sodium titanate nanotubes
12.128739100704465,0.17933767704957937,0.6% Sodium titanate nanotubes
17.141939546152226,5.63288731785752,0.6% Sodium titanate nanotubes
18.45809718634125,16.957571020017255,0.6% Sodium titanate nanotubes
0.9285022641852514,6.42334846857574,0.87% Sodium titanate nanotubes
6.879807879379307,13.70586518919027,0.87% Sodium titanate nanotubes
12.128739100704465,92.7252760146869,0.87% Sodium titanate nanotubes
17.141939546152226,347.04735138766785,0.87% Sodium titanate nanotubes
18.45809718634125,145.88336774810148,0.87% Sodium titanate nanotubes
0.9285022641852514,2.434472741863442,0.64% Sodium titanate nanotubes
6.879807879379307,2.236307849553944,0.64% Sodium titanate nanotubes
12.128739100704465,2.0898361354060935,0.64% Sodium titanate nanotubes
17.141939546152226,1.972445204560587,0.64% Sodium titanate nanotubes
18.45809718634125,1.9543632525485695,0.64% Sodium titanate nanotubes
