Synthesis Temperature (°C),Impact Strength (kJ/m²)
1.8712908937524086,-4.297746154570758,0.52% SWNT
13.26106507364602,-42.554171607933036,0.52% SWNT
19.157293377262416,407.5715520551815,0.52% SWNT
1.8712908937524086,7.61069019115533,0.06% SWNT
13.26106507364602,7.070884536482483,0.06% SWNT
19.157293377262416,6.969953271390577,0.06% SWNT
1.8712908937524086,-1.2923200526140513,0.29% SWNT
13.26106507364602,-1.7770487675979953,0.29% SWNT
19.157293377262416,-1.792063089607194,0.29% SWNT
1.8712908937524086,-6.229469176417604,0.56% SWNT
13.26106507364602,-1.884627740569238,0.56% SWNT
19.157293377262416,-7.549568088260284,0.56% SWNT
1.8712908937524086,-0.7444084625777683,0.4% SWNT
13.26106507364602,20.043642986186285,0.4% SWNT
19.157293377262416,518.4610872702419,0.4% SWNT
