Reaction Temperature (°C),Loss Modulus (Pa)
9.92630305702529,2.1869201589860054,0.05% CCTO ceramics
10.202924994808528,30.607828019509437,0.05% CCTO ceramics
11.624239337944536,61.16021785933006,0.05% CCTO ceramics
12.56066250478106,31.407162998609536,0.05% CCTO ceramics
19.670067828029666,698.268893717297,0.05% CCTO ceramics
9.92630305702529,2.446457736719182,0.36% CCTO ceramics
10.202924994808528,2.6285296996608705,0.36% CCTO ceramics
11.624239337944536,2.1372699715713095,0.36% CCTO ceramics
12.56066250478106,4.588122979082545,0.36% CCTO ceramics
19.670067828029666,0.36962620721117734,0.36% CCTO ceramics
