UV Exposure Time (h),Melting Temperature (°C)
0.07736019618593382,-6.3257983890434435,0.69% aluminum/Poly(glycidyl methacrylate)
2.001067832323411,-6.879019884023075,0.69% aluminum/Poly(glycidyl methacrylate)
11.693199007698196,-7.316050091583308,0.69% aluminum/Poly(glycidyl methacrylate)
15.580824663196747,-7.336937494521505,0.69% aluminum/Poly(glycidyl methacrylate)
19.338061649201677,-7.343186339198735,0.69% aluminum/Poly(glycidyl methacrylate)
0.07736019618593382,3.5626706509915076,0.18% aluminum/Poly(glycidyl methacrylate)
2.001067832323411,2.9991310254681354,0.18% aluminum/Poly(glycidyl methacrylate)
11.693199007698196,2.5267978709386867,0.18% aluminum/Poly(glycidyl methacrylate)
15.580824663196747,2.5060803037725137,0.18% aluminum/Poly(glycidyl methacrylate)
19.338061649201677,2.500152258562117,0.18% aluminum/Poly(glycidyl methacrylate)
0.07736019618593382,2.3493274181120736,0.87% aluminum/Poly(glycidyl methacrylate)
2.001067832323411,3.1093327280739125,0.87% aluminum/Poly(glycidyl methacrylate)
11.693199007698196,17.641534492671298,0.87% aluminum/Poly(glycidyl methacrylate)
15.580824663196747,109.60938364581472,0.87% aluminum/Poly(glycidyl methacrylate)
19.338061649201677,-167.02023903105075,0.87% aluminum/Poly(glycidyl methacrylate)
0.07736019618593382,-2.6485606784061955,0.59% aluminum/Poly(glycidyl methacrylate)
2.001067832323411,-2.0184171154664208,0.59% aluminum/Poly(glycidyl methacrylate)
11.693199007698196,2.951299573711318,0.59% aluminum/Poly(glycidyl methacrylate)
15.580824663196747,-4.079074969704584,0.59% aluminum/Poly(glycidyl methacrylate)
19.338061649201677,-3.8095002285147785,0.59% aluminum/Poly(glycidyl methacrylate)
