Magnetic Field Strength (T),Fatigue Strength (MPa)
0,-0.9584330560072972,
2,-1.4299695107251589,
3,-1.578185952851344,
4,-1.6552994993766956,
8,-1.859401258621953,
15,-1.9392869706651314,
0,5.033967417714057,
2,4.659098535831249,
3,4.462138507078608,
4,4.557588920911892,
8,4.30749596625899,
15,4.111225950313196,
0,-6.286686368280775,
2,-6.356102970682749,
3,-6.376457911117133,
4,-6.595459139692937,
8,-6.7039117120814,
15,-6.905013357265133,
0,7.431058356082351,
2,8.727559201577773,
3,9.525337342982093,
4,12.037134409994305,
8,10.35105515553951,
15,24.42059508617028,
