Reaction Time (h),Crystallization Temperature (°C)
4.8518869113348595,-5.082077268081153,OMMT/bisphenol-A phthalonitrile resin
8.160431051832846,-5.2074047178646765,OMMT/bisphenol-A phthalonitrile resin
19.22212348589682,-5.281088917346362,OMMT/bisphenol-A phthalonitrile resin
19.273947281506867,-5.281030547911819,OMMT/bisphenol-A phthalonitrile resin
0.15050870665002547,6.579547971662191,Calcium copper titanate/bisphenol-A phthalonitrile resin
13.853037204941149,19.259747978694502,Calcium copper titanate/bisphenol-A phthalonitrile resin
19.062893704498137,-91.96628840734576,Calcium copper titanate/bisphenol-A phthalonitrile resin
19.673212892508943,206.8934844157425,Calcium copper titanate/bisphenol-A phthalonitrile resin
1.600000112102371,-2.2884101284739176,single-walled CNT/bisphenol-A phthalonitrile resin
7.319766307487874,6.270158748631086,single-walled CNT/bisphenol-A phthalonitrile resin
13.256429662229646,35.82059559556116,single-walled CNT/bisphenol-A phthalonitrile resin
14.588642648119379,177.6637253680618,single-walled CNT/bisphenol-A phthalonitrile resin
