Curing Time (min),Particle Size Distribution
2,-4.723783539262077,0.55% Montmorillonite
4,-4.790140893013534,0.55% Montmorillonite
8,-5.050496527741773,0.55% Montmorillonite
11,-5.15697454082556,0.55% Montmorillonite
2,5.964950198278552,0.26% Montmorillonite
7,5.839914001363043,0.26% Montmorillonite
10,5.653711232621541,0.26% Montmorillonite
17,5.5010644056880516,0.26% Montmorillonite
2.6760663497927895,1.3514861256269302,0.92% Montmorillonite
8.648164829129339,8.634514888214444,0.92% Montmorillonite
11.376056166468908,15.366263255431342,0.92% Montmorillonite
16.624601557630346,253.27745554855505,0.92% Montmorillonite
1,6.395857696833324,0.12% Montmorillonite
6,9.962711258129278,0.12% Montmorillonite
8,16.904143337481436,0.12% Montmorillonite
19,589.2295151331159,0.12% Montmorillonite
