Heat Treatment Temperature (°C),Passivation Current Density (A/m²)
3,-4.4052271225429465,Polybutadiene
6,-3.781025280049875,Polybutadiene
10,-1.4585082450256444,Polybutadiene
11,-3.4419605307818264,Polybutadiene
19,-13.765073887339865,Polybutadiene
3,6.763632120845044,PAM
6,6.538643109563093,PAM
10,6.272216258408468,PAM
11,6.212884028915832,PAM
19,6.053181385697657,PAM
3,-5.506318502608062,Fluoroelastomer
6,-3.4773989781543726,Fluoroelastomer
10,37.50771190086959,Fluoroelastomer
11,30.956573728195202,Fluoroelastomer
19,-100.40983719553043,Fluoroelastomer
3,-3.6763281291414724,PC
6,-3.9610571401443204,PC
10,-4.075237271940272,PC
11,-4.094005252977448,PC
19,-4.125519930289498,PC
3,1.9639936540336804,PVC-P
6,1.7682920834725284,PVC-P
10,1.6516826666810613,PVC-P
11,1.63699825869502,PVC-P
19,1.6073639606406536,PVC-P
