Heat Treatment Temperature (°C),Fracture Toughness (MPa·m^0.5)
1.3002243442947448,4.487525728486198,0.69% calcium carbonate
4.394404395816924,4.434764716036932,0.69% calcium carbonate
7.4849999861667555,4.242480553454925,0.69% calcium carbonate
15.579161268171763,4.001776092212988,0.69% calcium carbonate
18.83138047479363,3.9256564566678516,0.69% calcium carbonate
1.3002243442947448,0.9578077065380096,0.95% calcium carbonate
4.394404395816924,1.5395330628406534,0.95% calcium carbonate
7.4849999861667555,2.2918328470592044,0.95% calcium carbonate
15.579161268171763,3.7407081492404353,0.95% calcium carbonate
18.83138047479363,17.89748677911695,0.95% calcium carbonate
1.3002243442947448,6.708824449423413,0.94% calcium carbonate
4.394404395816924,6.4610808994091755,0.94% calcium carbonate
7.4849999861667555,6.179833707157739,0.94% calcium carbonate
15.579161268171763,5.974194603490149,0.94% calcium carbonate
18.83138047479363,5.912424689036545,0.94% calcium carbonate
