Thickness (µm),Shear Viscosity (Pa·s)
2,3.0677224952833737,Poly(benzoxazine)
3,2.9314778040475598,Poly(benzoxazine)
9,2.5898944657952296,Poly(benzoxazine)
16,2.531349097284902,Poly(benzoxazine)
18,2.528086074423684,Poly(benzoxazine)
6,1.447628551778241,PBTP
7,1.451278316725612,PBTP
8,1.4353108824795555,PBTP
13,1.202695852318779,PBTP
17,1.1162960307401082,PBTP
0.9839317055750518,-7.076548721330146,S-SBR
7.757894759980816,-7.508155263123507,S-SBR
10.5982358591533,-7.5900562275756736,S-SBR
11.57340490126801,-7.645768394707452,S-SBR
16.786001333909557,-7.765236988189356,S-SBR
