Mixing Time (min),Degradation Temperature (°C)
0,4.877611527465283,AuNPs/Poly(2-hydroxyethyl acrylate)
1,4.785375899455025,AuNPs/Poly(2-hydroxyethyl acrylate)
2,4.443736195167883,AuNPs/Poly(2-hydroxyethyl acrylate)
4,4.270634661155143,AuNPs/Poly(2-hydroxyethyl acrylate)
8,4.054099168941272,AuNPs/Poly(2-hydroxyethyl acrylate)
18,3.9779329526423477,AuNPs/Poly(2-hydroxyethyl acrylate)
0,1.8311019954545689,SWCNT/Poly(2-hydroxyethyl acrylate)
1,1.9889293461597466,SWCNT/Poly(2-hydroxyethyl acrylate)
2,1.4372791765558683,SWCNT/Poly(2-hydroxyethyl acrylate)
4,1.4344211987964957,SWCNT/Poly(2-hydroxyethyl acrylate)
8,1.2565063182302996,SWCNT/Poly(2-hydroxyethyl acrylate)
18,0.9527368406664927,SWCNT/Poly(2-hydroxyethyl acrylate)
0,-1.3096240030612192,cellulose nanocrystals/Poly(2-hydroxyethyl acrylate)
1,-1.2836718147021964,cellulose nanocrystals/Poly(2-hydroxyethyl acrylate)
2,-1.592299565917155,cellulose nanocrystals/Poly(2-hydroxyethyl acrylate)
4,-1.8354174908478949,cellulose nanocrystals/Poly(2-hydroxyethyl acrylate)
8,-2.0791401231545343,cellulose nanocrystals/Poly(2-hydroxyethyl acrylate)
18,-2.1768644530998364,cellulose nanocrystals/Poly(2-hydroxyethyl acrylate)
0,2.348913404367413,Calcium carbonate/Poly(2-hydroxyethyl acrylate)
1,2.23904926939716,Calcium carbonate/Poly(2-hydroxyethyl acrylate)
2,2.517490897140778,Calcium carbonate/Poly(2-hydroxyethyl acrylate)
4,2.6452364132261086,Calcium carbonate/Poly(2-hydroxyethyl acrylate)
8,2.243168312223302,Calcium carbonate/Poly(2-hydroxyethyl acrylate)
18,-0.25719462953159145,Calcium carbonate/Poly(2-hydroxyethyl acrylate)
0,4.255455323879509,zirconium dioxide/Poly(2-hydroxyethyl acrylate)
1,4.1049498990215145,zirconium dioxide/Poly(2-hydroxyethyl acrylate)
2,4.068790024534751,zirconium dioxide/Poly(2-hydroxyethyl acrylate)
4,3.8382563610215445,zirconium dioxide/Poly(2-hydroxyethyl acrylate)
8,3.583905795748779,zirconium dioxide/Poly(2-hydroxyethyl acrylate)
18,3.4998551101468034,zirconium dioxide/Poly(2-hydroxyethyl acrylate)
