Stirring Speed (rpm),Decomposition Temperature (°C)
10.573154055071907,0.721031822881197,0.19% Molybdenum disulfide/Nylon 6
15.193309575186984,0.6895746226024756,0.19% Molybdenum disulfide/Nylon 6
16.352256867789457,0.6870297312999577,0.19% Molybdenum disulfide/Nylon 6
16.5037411619876,0.6862758387768239,0.19% Molybdenum disulfide/Nylon 6
10.573154055071907,-5.98870254158044,0.23% Molybdenum disulfide/Nylon 6
15.193309575186984,0.4060002910264746,0.23% Molybdenum disulfide/Nylon 6
16.352256867789457,2.207922653476002,0.23% Molybdenum disulfide/Nylon 6
16.5037411619876,4.627192761627635,0.23% Molybdenum disulfide/Nylon 6
10.573154055071907,-4.423547394512158,0.3% Molybdenum disulfide/Nylon 6
15.193309575186984,-4.537917993137754,0.3% Molybdenum disulfide/Nylon 6
16.352256867789457,-4.560963544241277,0.3% Molybdenum disulfide/Nylon 6
16.5037411619876,-4.552179571206913,0.3% Molybdenum disulfide/Nylon 6
