Pore Size (nm),Modulus Of Elasticity (GPa)
3,2.70719186201204,0.52% Dodecylbenzenesulfonic acid
6,1.8694457760603662,0.52% Dodecylbenzenesulfonic acid
14,9.723239163404582,0.52% Dodecylbenzenesulfonic acid
16,9.913365859769552,0.52% Dodecylbenzenesulfonic acid
3,3.608100474789823,0.53% Dodecylbenzenesulfonic acid
6,3.5100128501011443,0.53% Dodecylbenzenesulfonic acid
14,3.1910264853895316,0.53% Dodecylbenzenesulfonic acid
16,3.1433125439948335,0.53% Dodecylbenzenesulfonic acid
3,5.2622319550991214,0.65% Dodecylbenzenesulfonic acid
6,4.961957470055823,0.65% Dodecylbenzenesulfonic acid
14,4.822282404993321,0.65% Dodecylbenzenesulfonic acid
16,4.815024397459908,0.65% Dodecylbenzenesulfonic acid
3,-1.969891197223483,0.81% Dodecylbenzenesulfonic acid
6,1.337192867050267,0.81% Dodecylbenzenesulfonic acid
14,148.57744963153084,0.81% Dodecylbenzenesulfonic acid
16,54.30194525428102,0.81% Dodecylbenzenesulfonic acid
3,6.04316230161211,0.97% Dodecylbenzenesulfonic acid
6,12.3766522290388,0.97% Dodecylbenzenesulfonic acid
14,106.52136908367079,0.97% Dodecylbenzenesulfonic acid
16,72.04551627060297,0.97% Dodecylbenzenesulfonic acid
