Curing Time (min),Dynamic Viscosity (Pa·s)
0,-6.2325995585851235,
7,-6.383116475093218,
15,-6.7087937438393626,
16,2.1319438564164397,
17,1.7881326409843794,
18,5.861983662481633,
0,-0.27697603385918945,
7,-1.051835877845811,
15,-1.1503361711243445,
16,-1.1528280880790511,
17,-1.1548400767584723,
18,-1.1566176027248891,
0,5.155966716656914,
7,4.211664911004599,
15,4.128716288408061,
16,4.1244285635513265,
17,4.122418136834928,
18,4.121059958802415,
0,-3.9243284355736563,
7,-2.2333248069140943,
15,330.3465884522219,
16,124.96883046896666,
17,159.22732853388348,
18,761.5981082396637,
