vol%,Galvanic Potential (V)
2,0.9773713870243754,Dodecylbenzenesulfonic acid/Poly(4-vinyl pyridine)
12,0.5040198084807264,Dodecylbenzenesulfonic acid/Poly(4-vinyl pyridine)
13,0.07069218001716004,Dodecylbenzenesulfonic acid/Poly(4-vinyl pyridine)
2,0.8184262281450436,Synthetic fluorine mica/Poly(4-vinyl pyridine)
12,0.254420989271818,Synthetic fluorine mica/Poly(4-vinyl pyridine)
13,0.24910709262331718,Synthetic fluorine mica/Poly(4-vinyl pyridine)
2,6.413884875840967,Dodecylbenzenesulfonic acid/Poly(4-vinyl pyridine)
12,6.091880514801448,Dodecylbenzenesulfonic acid/Poly(4-vinyl pyridine)
13,6.066288576896266,Dodecylbenzenesulfonic acid/Poly(4-vinyl pyridine)
2,0.845171802630413,SWNTs/Poly(4-vinyl pyridine)
12,0.36474411499577974,SWNTs/Poly(4-vinyl pyridine)
13,0.35561152722382716,SWNTs/Poly(4-vinyl pyridine)
