Mechanical Strength (MPa),Specific Viscosity
9.566432062139613,-0.248722148304029,Talcum/Poly(vinyl acetate)
9.74090187892834,-0.25449010169296915,Talcum/Poly(vinyl acetate)
12.478934149524266,-0.284381006316741,Talcum/Poly(vinyl acetate)
13.056714958233766,-0.28926509990750504,Talcum/Poly(vinyl acetate)
9.566432062139613,20.46809179869252,Poly(acrylonitrile)/Poly(vinyl acetate)
9.74090187892834,17.049602990711676,Poly(acrylonitrile)/Poly(vinyl acetate)
12.478934149524266,65.75014007652747,Poly(acrylonitrile)/Poly(vinyl acetate)
13.056714958233766,6.5207890942682685,Poly(acrylonitrile)/Poly(vinyl acetate)
9.566432062139613,6.86936378206758,exfoliated graphite/Poly(vinyl acetate)
9.74090187892834,8.751971077045287,exfoliated graphite/Poly(vinyl acetate)
12.478934149524266,8.620461145977426,exfoliated graphite/Poly(vinyl acetate)
13.056714958233766,9.691351648650095,exfoliated graphite/Poly(vinyl acetate)
9.566432062139613,0.09463983969242051,Cellulose/Poly(vinyl acetate)
9.74090187892834,0.05509278103874937,Cellulose/Poly(vinyl acetate)
12.478934149524266,-0.015592952211469835,Cellulose/Poly(vinyl acetate)
13.056714958233766,-0.01716015159502582,Cellulose/Poly(vinyl acetate)
