Synthesis Temperature (°C),Conductivity (S/m)
5.190708927052778,6.817499549706131,0.76% CuPP/Poly(tetrafluoroethylene)
10.655383464446139,6.607446078468638,0.76% CuPP/Poly(tetrafluoroethylene)
13.122060172430343,6.536966546400968,0.76% CuPP/Poly(tetrafluoroethylene)
14.14289273814703,6.523541255552997,0.76% CuPP/Poly(tetrafluoroethylene)
15.239698430715297,6.48946058026401,0.76% CuPP/Poly(tetrafluoroethylene)
5.190708927052778,4.934342360047966,0.98% CuPP/Poly(tetrafluoroethylene)
10.655383464446139,4.572983837006794,0.98% CuPP/Poly(tetrafluoroethylene)
13.122060172430343,4.515857999398822,0.98% CuPP/Poly(tetrafluoroethylene)
14.14289273814703,4.494884008342861,0.98% CuPP/Poly(tetrafluoroethylene)
15.239698430715297,4.453355285115505,0.98% CuPP/Poly(tetrafluoroethylene)
5.190708927052778,2.987839001156027,0.39% CuPP/Poly(tetrafluoroethylene)
10.655383464446139,4.745838212771485,0.39% CuPP/Poly(tetrafluoroethylene)
13.122060172430343,5.179580998290587,0.39% CuPP/Poly(tetrafluoroethylene)
14.14289273814703,2.900405988009868,0.39% CuPP/Poly(tetrafluoroethylene)
15.239698430715297,10.093705762919896,0.39% CuPP/Poly(tetrafluoroethylene)
5.190708927052778,1.1185617204899507,0.52% CuPP/Poly(tetrafluoroethylene)
10.655383464446139,1.0332521401023613,0.52% CuPP/Poly(tetrafluoroethylene)
13.122060172430343,0.9178058099815252,0.52% CuPP/Poly(tetrafluoroethylene)
14.14289273814703,0.8947218943940927,0.52% CuPP/Poly(tetrafluoroethylene)
15.239698430715297,0.8649983862462545,0.52% CuPP/Poly(tetrafluoroethylene)
