Particle Diameter (nm),Porosity (%)
2,3.1923931052564245,0.15% titania/sPP
6,3.4706879118342826,0.15% titania/sPP
11,5.91967196715097,0.15% titania/sPP
13,8.501351125045742,0.15% titania/sPP
14,9.820175660505582,0.15% titania/sPP
19,1.789352786207334,0.15% titania/sPP
2,-2.6097952338039305,0.81% titania/sPP
6,1.5494734415651452,0.81% titania/sPP
11,25.14248415165988,0.81% titania/sPP
13,76.76336439189507,0.81% titania/sPP
14,100.53718992736611,0.81% titania/sPP
19,-133.97429868544455,0.81% titania/sPP
