Thermal Diffusivity (mm²/s),Particle Size Distribution
1.775991792972338,-6.715321376241647,PAM
12.707384190886868,23.360598306071424,PAM
18.041259960871507,6.628159204404652,PAM
18.788415639849866,312.33169628155105,PAM
0.5087770960394988,2.6874513666015973,Bisphenol E cyanate ester resin
2.8416637277874357,2.68246146112112,Bisphenol E cyanate ester resin
9.35194265148754,5.138076607821209,Bisphenol E cyanate ester resin
10.81736114700833,2.798146326504474,Bisphenol E cyanate ester resin
5.128985462882067,0.6993095697110974,Polyphenylsulfone
10.567111154431208,32.94017278046181,Polyphenylsulfone
14.860395121064391,123.22529265804295,Polyphenylsulfone
16.61100942756733,-298.3327796478851,Polyphenylsulfone
4.9550138851389285,-2.692286338182429,aPP
6.286406426640969,-2.961675494251004,aPP
10.371964445849574,-3.0042955883300912,aPP
12.125718626991794,-3.0696813059814256,aPP
0,-4.8826234942461015,Poly(acrylonitrile)
6,-5.508731658474322,Poly(acrylonitrile)
14,-5.676997727048659,Poly(acrylonitrile)
17,-5.6858943820111145,Poly(acrylonitrile)
