Temperature (°C),Thermal Stability (°C)
1.1402918091206127,-3.325503560475263,DGEBD Epoxy Resin
1.1844483200211275,-3.6591488235562717,DGEBD Epoxy Resin
2.0638268628737144,-3.734725472049141,DGEBD Epoxy Resin
5.170737412781166,-4.020423717924805,DGEBD Epoxy Resin
7.564985743507348,-4.119122956589336,DGEBD Epoxy Resin
10.577353120714136,-4.18490842726254,DGEBD Epoxy Resin
1.1402918091206127,1.1932391508696958,UPR
1.1844483200211275,0.838067601282905,UPR
2.0638268628737144,0.8447354453186358,UPR
5.170737412781166,0.8410752609097463,UPR
7.564985743507348,0.5474364424713436,UPR
10.577353120714136,0.5070690240282589,UPR
1.1402918091206127,5.012451015472177,Polylactic acid
1.1844483200211275,4.948495771271485,Polylactic acid
2.0638268628737144,4.902372903226841,Polylactic acid
5.170737412781166,4.44742242650883,Polylactic acid
7.564985743507348,4.369955625441872,Polylactic acid
10.577353120714136,4.2987892737426705,Polylactic acid
