Pore Volume (cm³/g),Dielectric Loss
0.7336472486471246,6.349889955778206,0.7% Alumina
2.6654434476601985,6.37495560344327,0.7% Alumina
4.439624276746718,6.878418202593049,0.7% Alumina
8.223150524727455,17.712394995110678,0.7% Alumina
14.888474305001365,65.40373301663573,0.7% Alumina
0.7336472486471246,-3.2914036969092226,0.51% Alumina
2.6654434476601985,-3.7030635361273134,0.51% Alumina
4.439624276746718,-3.898173395872544,0.51% Alumina
8.223150524727455,-4.107873391053994,0.51% Alumina
14.888474305001365,-4.171212158785497,0.51% Alumina
0.7336472486471246,6.083209378452528,0.53% Alumina
2.6654434476601985,5.75498739966328,0.53% Alumina
4.439624276746718,5.724896479139095,0.53% Alumina
8.223150524727455,5.549290837776358,0.53% Alumina
14.888474305001365,5.359953977448348,0.53% Alumina
