Volume Fraction (%),Heat Of Fusion (J/g)
2,8.05015890636798,CCTO ceramics/Polyrotaxane
6,7.887413434476251,CCTO ceramics/Polyrotaxane
7,9.171716437129028,CCTO ceramics/Polyrotaxane
18,6.013130649476989,CCTO ceramics/Polyrotaxane
1.8963666568515225,-5.85747123280341,fumed silica/Polyrotaxane
10.201419820802577,-6.271120088267026,fumed silica/Polyrotaxane
14.722786675247008,-6.39960299045722,fumed silica/Polyrotaxane
17.794659561955143,-6.470670867497574,fumed silica/Polyrotaxane
5.656328007669362,8.1612074646251,White spirits/Polyrotaxane
7.405123573145913,8.005048214780107,White spirits/Polyrotaxane
12.972663204165396,7.851409666404865,White spirits/Polyrotaxane
17.684448196680137,7.7600466209118855,White spirits/Polyrotaxane
8,6.5151093937743525,MWNTs/Polyrotaxane
9,6.472372127395662,MWNTs/Polyrotaxane
11,6.445701281871153,MWNTs/Polyrotaxane
18,6.411264159177368,MWNTs/Polyrotaxane
