X-ray Dose (Gy),Charge Transfer Resistance (Ω·m²)
4.596432920109863,7.278342807500471,Silica/PB
5.2823229259952775,7.265619630570937,Silica/PB
9.352935563221319,7.099589399345316,Silica/PB
13.393476859219483,7.053123624789964,Silica/PB
18.969204496096943,7.036651152276146,Silica/PB
4.596432920109863,-4.538578976300122,White spirits/PB
5.2823229259952775,-4.5579355059630675,White spirits/PB
9.352935563221319,-4.733846795315328,White spirits/PB
13.393476859219483,-4.773719605255954,White spirits/PB
18.969204496096943,-4.789531518648522,White spirits/PB
