Mixing Time (min),Crystallization Temperature (°C)
2.1859328697639535,2.2569989087686064,0.89% CCTO
3.0629678727652276,2.6544512067003327,0.89% CCTO
5.889437131500013,2.663494399970923,0.89% CCTO
7.007003009346997,2.978422405006008,0.89% CCTO
7.911713424771523,4.2959800978277585,0.89% CCTO
14.064712617325952,-3.1710347100102263,0.89% CCTO
2.1859328697639535,5.784497098621669,0.0% CCTO
3.0629678727652276,6.407152802006551,0.0% CCTO
5.889437131500013,12.250529309599738,0.0% CCTO
7.007003009346997,12.67260390233576,0.0% CCTO
7.911713424771523,19.963061846089552,0.0% CCTO
14.064712617325952,105.977650622525,0.0% CCTO
