Nanoparticle Mass (%),Viscosity (Pa·s)
1,4.6366246739240005,
7,3.9647363652808805,
11,3.8986649034990024,
12,3.8477052082155527,
16,3.7675901392624715,
3.8217459286088573,-2.9341576454035354,
5.087295850336686,-2.9027631042996718,
9.60541869463923,-3.2227080070615295,
13.446319046586764,-3.3147812254675095,
17.144959495691722,-3.396479507241762,
7,0.2212711921915595,
10,0.0868827498536262,
11,0.013956733668300414,
16,-0.0642185260049831,
18,-0.12001140084428524,
2.8102468762607824,-5.781718798928881,
7.639974391596278,-6.146051651191783,
12.23031497872302,-6.2114146389934275,
15.024738508220718,-6.225379875068051,
16.2382189536753,-6.228855235508744,
