Neutron Flux (n/cm²/s),Pore Size (nm)
3.313973372756507,-7.255659427839079,0.3% ZnO/PA 8
5.960120865276544,-7.253572054683899,0.3% ZnO/PA 8
9.455691744327066,-7.435576869708433,0.3% ZnO/PA 8
16.525637080396468,-7.575127557287272,0.3% ZnO/PA 8
19.475922288054516,-7.622741839577371,0.3% ZnO/PA 8
19.507571671541438,-7.626220282471631,0.3% ZnO/PA 8
3.313973372756507,1.414475668440292,0.94% ZnO/PA 8
5.960120865276544,7.5877955057985975,0.94% ZnO/PA 8
9.455691744327066,31.251789329991297,0.94% ZnO/PA 8
16.525637080396468,229.0813096028486,0.94% ZnO/PA 8
19.475922288054516,-21.309235204891316,0.94% ZnO/PA 8
19.507571671541438,461.2447321474294,0.94% ZnO/PA 8
3.313973372756507,5.523103021681606,0.12% ZnO/PA 8
5.960120865276544,5.2309112429587925,0.12% ZnO/PA 8
9.455691744327066,5.118677847743887,0.12% ZnO/PA 8
16.525637080396468,5.0631746035168534,0.12% ZnO/PA 8
19.475922288054516,5.059218848096182,0.12% ZnO/PA 8
19.507571671541438,5.059196790282561,0.12% ZnO/PA 8
3.313973372756507,0.07795909766007969,0.46% ZnO/PA 8
5.960120865276544,-0.456704184405623,0.46% ZnO/PA 8
9.455691744327066,1.5036525911241476,0.46% ZnO/PA 8
16.525637080396468,-1.638929924692616,0.46% ZnO/PA 8
19.475922288054516,-1.534824431016923,0.46% ZnO/PA 8
19.507571671541438,-4.919787518860623,0.46% ZnO/PA 8
3.313973372756507,0.03131434584921722,0.79% ZnO/PA 8
5.960120865276544,-0.2027307327534399,0.79% ZnO/PA 8
9.455691744327066,-0.321382681317516,0.79% ZnO/PA 8
16.525637080396468,-0.3763128021326187,0.79% ZnO/PA 8
19.475922288054516,-0.38016996162619004,0.79% ZnO/PA 8
19.507571671541438,-0.38008417845219417,0.79% ZnO/PA 8
