Hardness (HV),Zero-shear Viscosity (Pa·s)
0.440116888602875,1.4434105291352695,Poly(2-hydroxyethyl acrylate)
2.776864563932737,1.0746407634021466,Poly(2-hydroxyethyl acrylate)
16.853580253117492,0.6185019848116537,Poly(2-hydroxyethyl acrylate)
19.02763971274267,0.6159199854063879,Poly(2-hydroxyethyl acrylate)
0.440116888602875,-5.848938490987572,Sodium polyacrylate
2.776864563932737,-6.034215315960908,Sodium polyacrylate
16.853580253117492,-6.609363120573773,Sodium polyacrylate
19.02763971274267,-6.64991516210636,Sodium polyacrylate
0.440116888602875,-5.616556496308107,poly-HEMA
2.776864563932737,-6.191969334140964,poly-HEMA
16.853580253117492,-6.677254463580549,poly-HEMA
19.02763971274267,-6.680154225866336,poly-HEMA
0.440116888602875,5.2031765380964945,Nylon 6
2.776864563932737,5.659169154401809,Nylon 6
16.853580253117492,402.9459555302411,Nylon 6
19.02763971274267,139.29929081831492,Nylon 6
0.440116888602875,-2.8334616448443555,PB
2.776864563932737,-1.0031670636785264,PB
16.853580253117492,409.59591350796615,PB
19.02763971274267,563.9760779258705,PB
