Nanoparticle Mass (%),Fracture Toughness (MPa·m^0.5)
1.8082474142602578,-0.636813862757748,PBA-a
7.8679499083763815,11.016341009723558,PBA-a
8.407047231264425,7.15172696606435,PBA-a
9.644742389957347,18.770439891958283,PBA-a
14.34963154439653,113.76606496039682,PBA-a
15.197391848038047,10.14977033919761,PBA-a
17.581833417257915,561.8405114745485,PBA-a
1.8082474142602578,1.572667624444687,PB
7.8679499083763815,1.5154351381477946,PB
8.407047231264425,3.666352806708879,PB
9.644742389957347,5.413193925734678,PB
14.34963154439653,3.9562037078350727,PB
15.197391848038047,0.1703504269353271,PB
17.581833417257915,9.08563963809766,PB
1.8082474142602578,6.483083137659184,sPP
7.8679499083763815,6.509529156200804,sPP
8.407047231264425,8.94267481333734,sPP
9.644742389957347,7.844573511004963,sPP
14.34963154439653,5.777055705990811,sPP
15.197391848038047,15.121970731869549,sPP
17.581833417257915,7.335436294272837,sPP
1.8082474142602578,-1.2870545559611537,PVC
7.8679499083763815,0.4014959931454314,PVC
8.407047231264425,1.139531913155496,PVC
9.644742389957347,0.821039251795888,PVC
14.34963154439653,-2.4640546321235375,PVC
15.197391848038047,-1.0933782994545482,PVC
17.581833417257915,14.363590941545244,PVC
1.8082474142602578,5.2612698928260455,Poly(vinyl acetate)
7.8679499083763815,4.630138546658915,Poly(vinyl acetate)
8.407047231264425,4.571809409021102,Poly(vinyl acetate)
9.644742389957347,4.620708019204975,Poly(vinyl acetate)
14.34963154439653,4.425892841246786,Poly(vinyl acetate)
15.197391848038047,4.410544234580669,Poly(vinyl acetate)
17.581833417257915,4.360998070551823,Poly(vinyl acetate)
